UFRUBLU2L2DR2U'F'R2D2FURD'F2U',//3j,T_h - 24
L2B2DU2L2B2L2B2R'FUFD2RBD'BLB2R,kociemba 02-2006,C_2v_(a1) I 4
UL2U'R2F2R2DB2DR2D2L2BFR'DUF2L'R',kociemba 02-2006,C_2v_(a1) I 4
D'BL'B'F2U2R2FUBDB2L2UF'LUF'R'U',kociemba 02-2006,C_2v_(a1) I 4
D'R2UF2R2F2U'L2D'R2B2D2BFL'DUF2L'R',kociemba 02-2006,C_2v_(a1) I 4
D2U'L2U'R2F2LUFL2UF'R'DF2U'BRU2R,kociemba 02-2006,C_2v_(a1) I 4
F2U'F2L2DU2FL'BRB2U'RB'UL2U2B'DR,kociemba 02-2006,C_2v_(a1) A 4
R2B'UF'L'DB'F2DB2D2U'L'B2R'B2R'BR2U',kociemba 02-2006,C_2v_(a1) A 4
U2LB'L2D2FL'U'RF2LU2B'ULF'D'B2R2U',kociemba 02-2006,C_2v_(a1) A 4
L'U'BU2B'URB2D2BL2B2D'UL'U2L2BF'U',kociemba 02-2006,C_2v_(a1) A 4
L2B2L2R'B2RBR2ULB'F'RDL2FRU2R'U',kociemba 02-2006,C_2v_(a1) A 4
R2DL'D'U2F'L'R2D'UFRF2U2B'L2R'F2R'U',kociemba 02-2006,C_2v_(a1) A 4
L'FL2R2UB2D'FDU'BD'L'R'BDB2L2R'U',kociemba 02-2006,C_2v_(a1) A 4
DF2L2R2D'B2L'BFRB2R'B'DF2LU2BL2R',kociemba 02-2006,C_2v_(a1) A 4
F2DB2F2L2R2UL2U2BD'URF2L'B'FDLR',kociemba 02-2006,C_2v_(a1) A 4
B'U'B'DLB2U2L'R2U'BLUF'L'RF2U'R2U',kociemba 02-2006,C_2v_(a1) A 4
B2D'B2U'R2B2D2L2FL'B'D'F'R'D2B2L2FU'R',kociemba 02-2006,C_2v_(a1) A 4
F2R2B2D2R2U2R2DR'F'DR2D'FL'B'D2F'L'R',kociemba 02-2006,C_2v_(a1) A 4
B2RBL'F'UBR'UL2DL'D'F2LF'R'FR'U',kociemba 02-2006,C_2v_(a1) A 4
UFLU'F2UB'F2D'B2R'FL'B2L2R2D2U'L2U,coset neighbors,C_2v_(a2) A 4
UFUB'U2LUB2FL2B'RULFDL'U2BL,coset neighbors,C_4 A 4
UF2L'DRDB2LF'RD'L'D'RB2U'FL'BD',coset neighbors,C_4 A 4
FL'U2F2D'U2L'FD2R2F2R'U2R2URB'F'R'U',kociemba 02-2006,S_6 A 6
LBDL2B'RF'D2R2DF2RU2BF'D'UB2R'U',kociemba 02-2006,S_6 A 6
B2UBU2BR'D2U'B'FR'BD'F2RFUF'R'U',kociemba 02-2006,S_6 A 6
L2B'L2R2FR'F2L2B'FL'DR'UB'FD'U'R2U',kociemba 02-2006,S_6 A 6
L2U2LDF'RF2U'LF'DB'DRB2LDU2R'U',kociemba 02-2006,S_6 A 6
B'RF2DU'B'RB2U'BUF'RU2LR'U2F2R'U',kociemba 02-2006,S_6 A 6
B2F'R'B'U'BL'D2B2F2R'FU2BF2LB2DR'U',kociemba 02-2006,S_6 A 6
U'FDR'DU2FD2F2R'D'R2U'F2RUF'L'R'U',kociemba 02-2006,S_6 A 6
F2LB'D'B2U'L2D'B'L'DF2U2R'FLF2U2R'U',kociemba 02-2006,S_6 A 6
RDF'D'RD'UR'BF'RD'L2FD2BF'U2R'U',kociemba 02-2006,S_6 A 6
F'R'D'L2R2U'L2U2F2D'F'D'BRDR'U'B'R'U',kociemba 02-2006,S_6 A 6
LB2R2DFU2FU'F'LD2L2UR'BFU'F'R'U',kociemba 02-2006,S_6 A 6
R2FR2FL2RB'L'R2B'D'U2RUR'BR'F'R'U',kociemba 02-2006,S_6 A 6
B2D'U'L'F'D'U2BF'D2FLFR2DL2DF'R'U',kociemba 02-2006,S_6 - 6
U2BF2RF'URDBF2LFR2UR2D2B'FR'U',kociemba 02-2006,S_6 - 6
FD2BF'LU2F2R2DL2F'D'BL'B'F'LU2R'U',kociemba 02-2006,S_6 A 6
B2DFDR2U'FLU2L2B'L'D2L'B2U'FL'R'U',kociemba 02-2006,S_6 A 6
L'UBDL2F'U'B2L'R2B2RU2R2FUBU'RU',kociemba 02-2006,S_6 A 6
R2D'B2L2RD2R2UB'D'LR2F2D'F'LD'U'R2U',kociemba 02-2006,S_6 - 6
B2U'RD'RBU'L2UR'UB'DBDBD2LR2U',kociemba 02-2006,S_6 A 6
FU2L2D'UBRFLU2F2UB'D2R2B2R2B'R'U',kociemba 02-2006,S_6 A 6
U'L'U2FUBF2L2UF'D'L'BD'U2LR'B'R'U',kociemba 02-2006,S_6 A 6
L2RF'DLRB2UF2LDR2B2L'FD'LU'R2U',kociemba 02-2006,S_6 A 6
L'F'DU2L'D2R'BFDBR'DR2BR2F2D2RU',kociemba 02-2006,S_6 A 6
UF2R2F2L2D'UL2RDBF2UL2FUL'RF2U,kociemba 02-2006,S_6 A 6
D2B'RB'L2FU'L'R2UR'DU'RF2L2F'U2R'U',kociemba 02-2006,S_6 A 6
LF2UBDU2F'R2FL2BR'F'L2R'B'LD2RU',kociemba 02-2006,S_6 A 6
L'RDR2B2F'U'RF'LD'U2B'F2L2BR'U2R'U',kociemba 02-2006,S_6 A 6
U2F'LD'R'FR2D2R'UF2DRBF'RDU'R'U',kociemba 02-2006,S_6 A 6
L2F2D'BL2R2B'U2L2D'L'DF'R2U'FR2UR'U',kociemba 02-2006,S_6 A 6
